"IndivYr","AnimalID","VI95","VI50","Look","MigStatus","AvgGDM","Age","MAXFAT","RUMP","PSPB","Chest","girth","LactStatus"
"140600-15",140600,0.162934610388645,0,"Resident","Intermediate",49.5939860288686,7,0.98,4,"Pregnant",160,160,"No"
NA,141250,NA,NA,NA,NA,NA,4,0.64,3.5,"Pregnant",153,153,"Yes"
"140910-14",140910,0,0,"Intermediate","Migrant",85.2817312338074,4,0.46,3.75,"Pregnant",155,155,"No"
"140910-15",140910,0.0194244227121516,0,"Intermediate","Intermediate",54.5745911461824,4,0.46,3.75,"Pregnant",155,155,"No"
"141120-14",141120,0,0,"Migrant","Migrant",74.5023276411899,8,0.34,3,"Pregnant",NA,NA,"No"
"141120-15",141120,0,0,"Migrant","Migrant",51.8885235620803,8,0.34,3,"Pregnant",NA,NA,"No"
"140560-14",140560,0,0,"Switch","Migrant",72.0004577790571,10,0.52,3.75,"Pregnant",169,169,"No"
"140560-15",140560,0.0980063833409803,0,"Switch","Intermediate",53.7185472879149,10,0.52,3.75,"Pregnant",169,169,"No"
"141160-14",141160,0,0,"Migrant","Migrant",71.3832962193055,6,0.7,3.75,"Pregnant",168,168,"No"
"141160-15",141160,0,0,"Migrant","Migrant",69.282022903804,6,0.7,3.75,"Pregnant",168,168,"No"
"140850-14",140850,0,0,"Migrant","Migrant",76.3580831989586,4,0.86,3.75,"Pregnant",159,159,"No"
"140850-15",140850,0.06188578981613,0,"Migrant","Intermediate",60.8999789646102,4,0.86,3.75,"Pregnant",159,159,"No"
"141110-14",141110,0.0277653675480775,0,"Migrant","Intermediate",92.6367480511727,7,1.08,4,"Pregnant",162,162,"No"
"141130-14",141130,0.00577643703867647,0,"Resident","Intermediate",79.936522796836,3,0.52,3.75,"Pregnant",NA,NA,"Yes"
"141130-15",141130,0.169334893372851,0,"Resident","Intermediate",47.5861684317741,3,0.52,3.75,"Pregnant",NA,NA,"Yes"
"141490-14",141490,0.103215751937478,0.00847605509634699,"Resident","Resident",51.5155656408686,NA,1,4,"Pregnant",NA,NA,"No"
"141490-15",141490,0.155397279779592,0,"Resident","Intermediate",50.2960768950641,NA,1,4,"Pregnant",NA,NA,"No"
"140900-14",140900,0.103499715421687,0,"Intermediate","Intermediate",53.4353646015005,7,0.4,2.5,"Pregnant",157,157,"Yes"
"141070-14",141070,0.064504728048975,0,"Resident","Intermediate",53.7430713204009,6,1.18,4,"Pregnant",164,164,"No"
"141070-15",141070,0.217148506907279,0,"Resident","Intermediate",49.6304988626591,6,1.18,4,"Pregnant",164,164,"No"
"140480-14",140480,0.398117445599122,0.0488011203604596,"Resident","Resident",37.4132551873265,6,1.28,4,"Pregnant",173,167.7471,"No"
"140480-15",140480,0.421525911597712,0.0570603338913298,"Resident","Resident",38.4339065161589,6,1.28,4,"Pregnant",173,167.7471,"No"
"141060-14",141060,0.259212537869625,0,"Resident","Intermediate",54.7160478423452,6,1.16,4.25,"Pregnant",178,172.1506,"Yes"
"141060-15",141060,0.195791817591292,0.00703139511123541,"Resident","Resident",43.7000172765998,6,1.16,4.25,"Pregnant",178,172.1506,"Yes"
"140960-14",140960,0.245799798333959,0.0113511849738838,"Resident","Resident",56.1138524325596,8,0.68,3.75,"Pregnant",170,165.105,"Yes"
"140960-15",140960,0.263348003918714,0,"Resident","Intermediate",47.5110105422049,8,0.68,3.75,"Pregnant",170,165.105,"Yes"
"140400-14",140400,0.251280377151462,0.0169272810202229,"Resident","Resident",49.9972358011679,NA,0.5,2.75,"Pregnant",173,167.7471,"Yes"
"140400-15",140400,0.272094581372428,0,"Resident","Intermediate",44.0797166133952,NA,0.5,2.75,"Pregnant",173,167.7471,"Yes"
"140800-14",140800,0,0,"Switch","Migrant",117.405759393261,10,0.67,3.5,"Open",157,153.6559,"No"
"140800-15",140800,0,0,"Switch","Migrant",89.1034808535556,10,0.67,3.5,"Open",157,153.6559,"No"
"140890-14",140890,0.0285537516888567,0,"Intermediate","Intermediate",89.9191961773245,8,1.34,3.75,"Pregnant",167,162.4629,"Yes"
"140890-15",140890,0.158032359593138,0,"Intermediate","Intermediate",49.9031472685179,8,1.34,3.75,"Pregnant",167,162.4629,"Yes"
"141000-14",141000,0,0,"Intermediate","Migrant",72.108096995988,5,1.08,4.25,"Pregnant",173,167.7471,"Unknown"
"141000-15",141000,0.00790787502243446,0,"Intermediate","Intermediate",57.8436439096938,5,1.08,4.25,"Pregnant",173,167.7471,"Unknown"
