"IndivYr","AnimalID","VI95","VI50","MigStatus","Date","AvgDE","DEclass","Age","MAXFAT","RUMP","PSPB","Chest","girth","LactStatus"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-07,2.81381785753231,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-08,2.83931759403161,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-09,2.70967445112642,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-10,2.8351272797496,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-11,2.82361079486439,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-12,2.88483741007428,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-13,2.89165840674318,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-14,2.7706558292526,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-15,2.90310900088019,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-16,2.9597108103575,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-17,2.88955716267706,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-18,2.84296558998508,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-19,2.90105844767251,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-20,2.85397969258944,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-21,2.82849357827812,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-22,2.8985801387237,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-23,2.80356896633856,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-24,2.75149732951069,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-25,2.86446764554836,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-26,2.87686427297062,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-27,2.9082354612983,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-28,2.84683089502606,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-29,2.88376365418122,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-30,2.95741915222826,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-14",141080,0.222803212062637,0,"Intermediate",2014-08-31,2.89853684076541,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-01,2.851766607426,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-02,2.75853353959007,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-03,2.82334795775206,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-04,2.6335824172942,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-05,2.84065294454591,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-06,2.75858459533355,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-07,2.71133562078534,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-08,2.55044391180144,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-09,2.69027072176901,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-10,2.6629882074016,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-11,2.54157800644334,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-12,2.57887573305063,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-13,2.65424346059302,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-14,2.94461537577729,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-15,2.85021180046242,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-16,2.72348811906377,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-17,2.77268192072344,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-18,2.77897056481404,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-19,2.85067529616131,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-20,2.81074758310996,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
