"IndivYr","nExc","nGood","nMarg","nPoor","AnimalID","VI95","VI50","Dist","MigStatus","MigRank","IFBF","preg_pspb","LactStatus","girthmass","adjmass","Age","HRarea","nDaysAg"
"140100-15",8,23,15,2,140100,0.0606568613517085,0,4419.50042204328,"Intermediate",39,7.537929237,1,"No",265.086585,186.3467704,9,55.4476933122215,31
"141010-15",0,4,42,2,141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107,0
"140040-14",0,6,41,1,140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112,3
"140120-14",0,7,32,9,140120,0.0370507411400248,0,7058.90711248954,"Intermediate",42,6.710628485,0,"Yes",234.248,170.2582732,8,49.1547201203423,6
"140600-14",18,27,3,0,140600,0.0326098677416917,0,8027.38675010501,"Intermediate",43,8.20349831,1,"No",250.91,178.4768898,7,33.2300602534561,36
"140980-14",0,4,43,1,140980,0.0308680880611108,0,6801.6529376382,"Intermediate",44,7.16318412,1,"No",269.9779928,189.1691889,6,22.0731748619766,4
"140890-14",5,7,36,0,140890,0.0285764492924241,0,9674.46074215174,"Intermediate",45,9.427563623,1,"Yes",257.7494733,181.3959576,8,89.510562803894,12
"141110-14",3,25,20,0,141110,0.0277433454821688,0,7791.66462794782,"Intermediate",46,8.516164147,1,"No",256.464,181.239348,7,66.0839532226791,6
"140680-14",3,10,28,7,140680,0.0233887706899153,0,8870.88267706579,"Intermediate",47,6.301052223,1,"No",279.7608084,194.9333735,10,75.4624448834305,0
"140910-15",2,13,33,0,140910,0.019432312770428,0,6234.85318776835,"Intermediate",48,6.384885409,1,"No",237.025,171.8705813,4,31.5693209250107,0
"140680-15",4,7,37,0,140680,0.0179146904710399,0,8213.40938469372,"Intermediate",49,6.301052223,1,"No",279.7608084,194.9333735,10,45.2874364410324,0
"140320-14",0,2,44,2,140320,0.0151582772149165,0,10405.6212309651,"Intermediate",50,9.5554,1,"No",NA,NA,7,78.5156995839424,5
"140320-15",1,23,24,0,140320,0.0144095757801958,0,8092.66441676799,"Intermediate",51,9.5554,1,"No",NA,NA,7,48.7920038269272,22
"141010-14",0,0,42,6,141010,0.00829611330667198,0,10073.521405423,"Intermediate",52,6.59316305,1,"Yes",238.1838421,172.41541,7,52.2789689479675,0
"141000-15",14,18,16,0,141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766,20
"141130-14",0,4,44,0,141130,0.00577178655317101,0,11875.072985178,"Intermediate",54,7.1698,1,"Yes",NA,NA,3,69.3349792395782,3
"140060-14",15,30,3,0,140060,0.00272530477866524,0,13851.1246432147,"Intermediate",55,9.089089089,1,"No",220.363,162.0426496,3,72.9301057464218,33
"140980-15",4,11,31,2,140980,0,0,7682.95769359106,"Migrant",56,7.16318412,1,"No",269.9779928,189.1691889,6,27.0959612467461,8
"140910-14",0,5,41,2,140910,0,0,9137.7760877783,"Migrant",57,6.384885409,1,"No",237.025,171.8705813,4,48.6785635758972,0
"140340-15",4,31,13,0,140340,0,0,9400.89901193503,"Migrant",58,7.399225,1,"Yes",252.8580655,179.9120507,7,18.6185625400162,0
"141000-14",2,18,27,1,141000,0,0,9443.75461997293,"Migrant",59,8.38847516,1,"Unknown",272.4236967,189.7187912,5,29.8857666617279,11
"140340-14",2,8,38,0,140340,0,0,10262.4643751924,"Migrant",60,7.399225,1,"Yes",252.8580655,179.9120507,7,26.1597569027557,0
"140300-14",0,5,41,2,140300,0,0,10431.1954397402,"Migrant",61,8.026735259,0,"No",255.3037694,180.8903571,6,25.4470074955978,0
"141160-14",0,2,40,6,141160,0,0,10608.9899786428,"Migrant",62,7.078414277,1,"No",273.126,190.901084,6,36.8324550620575,0
"140850-14",0,7,38,3,140850,0,0,10632.7887516437,"Migrant",63,7.790796019,1,"No",248.133,177.2106039,4,52.5132468409729,0
"141150-14",0,2,44,2,141150,0,0,11441.2862600277,"Migrant",64,10.5991,1,"No",NA,NA,6,25.8700673943138,0
"140040-15",2,5,39,2,140040,0,0,11485.204256347,"Migrant",65,6.223059964,1,"Yes",240.629546,173.8743028,8,21.7537730835342,0
"150360-15",1,23,24,0,150360,0,0,11642.8028784454,"Migrant",66,NA,NA,NA,NA,NA,NA,47.9232467510452,0
"141120-14",2,7,39,0,141120,0,0,11895.7360503058,"Migrant",67,7.536775,1,"No",NA,NA,8,91.7351214253616,0
"140800-15",1,28,19,0,140800,0,0,12064.166920437,"Migrant",68,7.187721394,0,"No",233.2924343,169.5707673,10,7.11272555895233,0
"141160-15",10,7,15,0,141160,0,0,12202.1452291834,"Migrant",69,7.078414277,1,"No",273.126,190.901084,6,14.8660151729202,0
"140300-15",18,14,16,0,140300,0,0,12252.7908443865,"Migrant",70,8.026735259,0,"No",255.3037694,180.8903571,6,9.34573703839874,0
"140800-14",0,8,40,0,140800,0,0,13017.4396359056,"Migrant",71,7.187721394,0,"No",233.2924343,169.5707673,10,9.72210063926697,0
"140560-14",1,6,36,5,140560,0,0,14000.260724982,"Migrant",72,6.450307748,1,"No",275.903,192.7656858,10,37.1418972497711,4
"140120-15",0,0,5,0,140120,0,0,14004.2909699991,"Migrant",73,6.710628485,0,"Yes",234.248,170.2582732,8,0.881020710647583,0
"141120-15",14,11,23,0,141120,0,0,14728.0161803434,"Migrant",74,7.536775,1,"No",NA,NA,8,29.3275499379654,10
"141150-15",0,7,40,1,141150,0,0,15490.1205538914,"Migrant",75,10.5991,1,"No",NA,NA,6,23.8549353368607,0
