"MigStatus","N","mean","sd","se"
"Resident",864,2.83515689235553,0.149708328180704,0.00509318075399794
"Intermediate",1776,2.76938530270624,0.179384492741896,0.00425660563999941
"Migrant",901,2.66071271177414,0.152243082439658,0.0050719524455708
