"IndivYr","Date","AvgDE","DEclass"
"140040-14",2014-07-15,2.48345042490385,"Marginal"
"140040-14",2014-07-16,2.55354256114845,"Marginal"
"140040-14",2014-07-17,2.69781944184095,"Marginal"
"140040-14",2014-07-18,2.70851522715925,"Marginal"
"140040-14",2014-07-19,2.82095174440711,"Good"
"140040-14",2014-07-20,2.86831968717733,"Good"
"140040-14",2014-07-21,2.55898718108962,"Marginal"
"140040-14",2014-07-22,2.60107235056574,"Marginal"
"140040-14",2014-07-23,2.46335140481271,"Marginal"
"140040-14",2014-07-24,2.56345981738122,"Marginal"
"140040-14",2014-07-25,2.71484235743239,"Marginal"
"140040-14",2014-07-26,2.50972314889835,"Marginal"
"140040-14",2014-07-27,2.71200100427438,"Marginal"
"140040-14",2014-07-28,2.44679521521723,"Marginal"
"140040-14",2014-07-29,2.7779260167273,"Good"
"140040-14",2014-07-30,2.87006879745802,"Good"
"140040-14",2014-07-31,2.50136311629889,"Marginal"
"140040-14",2014-08-01,2.52759741815739,"Marginal"
"140040-14",2014-08-02,2.67268244826971,"Marginal"
"140040-14",2014-08-03,2.47608188293419,"Marginal"
"140040-14",2014-08-04,2.38436262783415,"Poor"
"140040-14",2014-08-05,2.46091895409735,"Marginal"
"140040-14",2014-08-06,2.4046526096075,"Marginal"
"140040-14",2014-08-07,2.51994800564188,"Marginal"
"140040-14",2014-08-08,2.58576730961365,"Marginal"
"140040-14",2014-08-09,2.69996735075098,"Marginal"
"140040-14",2014-08-10,2.78249799385359,"Good"
"140040-14",2014-08-11,2.51228841117371,"Marginal"
"140040-14",2014-08-12,2.44434923222737,"Marginal"
"140040-14",2014-08-13,2.44093147130056,"Marginal"
"140040-14",2014-08-14,2.54411283465668,"Marginal"
"140040-14",2014-08-15,2.42851814416333,"Marginal"
"140040-14",2014-08-16,2.53326270710661,"Marginal"
"140040-14",2014-08-17,2.57050751627458,"Marginal"
"140040-14",2014-08-18,2.42971477226762,"Marginal"
"140040-14",2014-08-19,2.47621218612511,"Marginal"
"140040-14",2014-08-20,2.46913053741679,"Marginal"
"140040-14",2014-08-21,2.50087406618796,"Marginal"
"140040-14",2014-08-22,2.58939429216946,"Marginal"
"140040-14",2014-08-23,2.66737787970632,"Marginal"
"140040-14",2014-08-24,2.72548392516738,"Marginal"
"140040-14",2014-08-25,2.75878593091431,"Good"
"140040-14",2014-08-26,2.60587117462969,"Marginal"
"140040-14",2014-08-27,2.64212761029014,"Marginal"
"140040-14",2014-08-28,2.48015689721739,"Marginal"
"140040-14",2014-08-29,2.7343424488808,"Marginal"
"140040-14",2014-08-30,2.51120853880581,"Marginal"
"140040-14",2014-08-31,2.44149956863837,"Marginal"
"140050-14",2014-07-15,2.93855248191378,"Excellent"
"140050-14",2014-07-16,2.90446732437279,"Excellent"
"140050-14",2014-07-17,2.90225249944618,"Excellent"
"140050-14",2014-07-18,2.79843128891715,"Good"
"140050-14",2014-07-19,2.80900260844623,"Good"
"140050-14",2014-07-20,2.92671395094417,"Excellent"
"140050-14",2014-07-21,2.80295078839528,"Good"
"140050-14",2014-07-22,2.67926913505594,"Marginal"
"140050-14",2014-07-23,2.56110377894197,"Marginal"
"140050-14",2014-07-24,2.64352148889627,"Marginal"
"140050-14",2014-07-25,2.68301604636993,"Marginal"
"140050-14",2014-07-26,2.39540210880877,"Poor"
"140050-14",2014-07-27,2.44592617162941,"Marginal"
"140050-14",2014-07-28,2.70238135701875,"Marginal"
"140050-14",2014-07-29,2.47090106292051,"Marginal"
"140050-14",2014-07-30,2.65827371099733,"Marginal"
"140050-14",2014-07-31,2.91071224318045,"Excellent"
"140050-14",2014-08-01,2.8988871460291,"Good"
"140050-14",2014-08-02,2.83943965360245,"Good"
"140050-14",2014-08-03,3.00709851176051,"Excellent"
"140050-14",2014-08-04,2.96798687578447,"Excellent"
"140050-14",2014-08-05,2.97850112963761,"Excellent"
"140050-14",2014-08-06,2.98756091384878,"Excellent"
"140050-14",2014-08-07,2.99229665406981,"Excellent"
"140050-14",2014-08-08,2.92280856847416,"Excellent"
"140050-14",2014-08-09,2.89714200290431,"Good"
"140050-14",2014-08-10,2.95721715802491,"Excellent"
"140050-14",2014-08-11,2.94726726047108,"Excellent"
"140050-14",2014-08-12,2.97237701719104,"Excellent"
"140050-14",2014-08-13,2.88955663339058,"Good"
"140050-14",2014-08-14,2.96341279433318,"Excellent"
"140050-14",2014-08-15,2.95328727599082,"Excellent"
"140050-14",2014-08-16,2.92783607626193,"Excellent"
"140050-14",2014-08-17,2.9440261279328,"Excellent"
"140050-14",2014-08-18,2.9035758935095,"Excellent"
"140050-14",2014-08-19,2.97150929175698,"Excellent"
"140050-14",2014-08-20,2.97613162755835,"Excellent"
"140050-14",2014-08-21,2.9492659671391,"Excellent"
"140050-14",2014-08-22,2.92520522582063,"Excellent"
"140050-14",2014-08-23,2.75364656644774,"Good"
"140050-14",2014-08-24,2.71100987738115,"Marginal"
"140050-14",2014-08-25,2.64112385470223,"Marginal"
"140050-14",2014-08-26,2.61238189734607,"Marginal"
"140050-14",2014-08-27,2.86544142416218,"Good"
"140050-14",2014-08-28,2.93173759159868,"Excellent"
"140050-14",2014-08-29,2.80787674203478,"Good"
"140050-14",2014-08-30,2.86033481205425,"Good"
"140050-14",2014-08-31,2.54845608777908,"Marginal"
"140060-14",2014-07-15,2.88388015275486,"Good"
"140060-14",2014-07-16,2.90151333546589,"Excellent"
"140060-14",2014-07-17,2.81006570734932,"Good"
"140060-14",2014-07-18,2.84244209756009,"Good"
"140060-14",2014-07-19,2.83977101821952,"Good"
"140060-14",2014-07-20,2.88244175481631,"Good"
"140060-14",2014-07-21,2.82440485977854,"Good"
"140060-14",2014-07-22,2.87362178257725,"Good"
"140060-14",2014-07-23,2.86303810588115,"Good"
"140060-14",2014-07-24,2.91690132339867,"Excellent"
"140060-14",2014-07-25,2.71452520408941,"Marginal"
"140060-14",2014-07-26,2.87226664200029,"Good"
"140060-14",2014-07-27,2.79695428716474,"Good"
"140060-14",2014-07-28,2.85966481302007,"Good"
"140060-14",2014-07-29,2.74300681906057,"Marginal"
"140060-14",2014-07-30,2.88376011784888,"Good"
"140060-14",2014-07-31,2.8898184614128,"Good"
"140060-14",2014-08-01,2.82935554409925,"Good"
"140060-14",2014-08-02,2.82862231503351,"Good"
"140060-14",2014-08-03,2.93218344410276,"Excellent"
"140060-14",2014-08-04,2.95567992780468,"Excellent"
"140060-14",2014-08-05,2.82972387738256,"Good"
"140060-14",2014-08-06,2.79307849157912,"Good"
"140060-14",2014-08-07,2.69984580138773,"Marginal"
"140060-14",2014-08-08,2.89192424373229,"Good"
"140060-14",2014-08-09,2.85880579170343,"Good"
"140060-14",2014-08-10,2.90990240360797,"Excellent"
"140060-14",2014-08-11,2.85378940534316,"Good"
"140060-14",2014-08-12,2.88561788017849,"Good"
"140060-14",2014-08-13,2.84480378697061,"Good"
"140060-14",2014-08-14,2.99507639601431,"Excellent"
"140060-14",2014-08-15,2.8001709323385,"Good"
"140060-14",2014-08-16,2.95216665833391,"Excellent"
"140060-14",2014-08-17,2.77054287141294,"Good"
"140060-14",2014-08-18,2.80814418828497,"Good"
"140060-14",2014-08-19,2.89787719993204,"Good"
"140060-14",2014-08-20,2.84579363534479,"Good"
"140060-14",2014-08-21,2.96337159591592,"Excellent"
"140060-14",2014-08-22,2.87660852871193,"Good"
"140060-14",2014-08-23,2.93167142837962,"Excellent"
"140060-14",2014-08-24,2.8461178462342,"Good"
"140060-14",2014-08-25,2.88552224192717,"Good"
"140060-14",2014-08-26,2.91103800534018,"Excellent"
"140060-14",2014-08-27,2.95946920914097,"Excellent"
"140060-14",2014-08-28,2.93515695650726,"Excellent"
"140060-14",2014-08-29,2.92473196856531,"Excellent"
"140060-14",2014-08-30,2.97072021524242,"Excellent"
"140060-14",2014-08-31,2.9569990181413,"Excellent"
"140070-14",2014-07-15,3.06776822318164,"Excellent"
"140070-14",2014-07-16,3.0071465216455,"Excellent"
"140070-14",2014-07-17,3.04731861774353,"Excellent"
"140070-14",2014-07-18,2.9938874943913,"Excellent"
"140070-14",2014-07-19,3.00401371244437,"Excellent"
"140070-14",2014-07-20,2.96399447204971,"Excellent"
"140070-14",2014-07-21,2.99310797083824,"Excellent"
"140070-14",2014-07-22,2.97628490121152,"Excellent"
"140070-14",2014-07-23,2.97605034843559,"Excellent"
"140070-14",2014-07-24,3.04120771968097,"Excellent"
"140070-14",2014-07-25,2.94302714658718,"Excellent"
"140070-14",2014-07-26,3.00506924111934,"Excellent"
"140070-14",2014-07-27,2.91763120456246,"Excellent"
"140070-14",2014-07-28,2.85402911096697,"Good"
"140070-14",2014-07-29,2.56070513108956,"Marginal"
"140070-14",2014-07-30,2.43802049811374,"Marginal"
"140070-14",2014-07-31,2.54830926957372,"Marginal"
"140070-14",2014-08-01,3.02897900559253,"Excellent"
"140070-14",2014-08-02,2.98109459196985,"Excellent"
"140070-14",2014-08-03,2.97918949905084,"Excellent"
"140070-14",2014-08-04,2.91807592841146,"Excellent"
"140070-14",2014-08-05,2.92481867968915,"Excellent"
"140070-14",2014-08-06,2.89396463511338,"Good"
"140070-14",2014-08-07,2.90770486285906,"Excellent"
"140070-14",2014-08-08,2.99017658707766,"Excellent"
"140070-14",2014-08-09,3.08201743178265,"Excellent"
"140070-14",2014-08-10,3.10856433675637,"Excellent"
"140070-14",2014-08-11,3.07139951563597,"Excellent"
"140070-14",2014-08-12,2.93437999691036,"Excellent"
"140070-14",2014-08-13,2.93663175447633,"Excellent"
"140070-14",2014-08-14,3.01603150146203,"Excellent"
"140070-14",2014-08-15,2.94847329396174,"Excellent"
"140070-14",2014-08-16,2.95846159116425,"Excellent"
"140070-14",2014-08-17,2.92999381572634,"Excellent"
"140070-14",2014-08-18,2.92203012571087,"Excellent"
"140070-14",2014-08-19,3.03728051670882,"Excellent"
"140070-14",2014-08-20,3.00694878290229,"Excellent"
"140070-14",2014-08-21,2.92841461123411,"Excellent"
"140070-14",2014-08-22,2.96703770276957,"Excellent"
"140070-14",2014-08-23,2.94160759127493,"Excellent"
"140070-14",2014-08-24,3.06572325001524,"Excellent"
"140070-14",2014-08-25,2.99080265337927,"Excellent"
"140070-14",2014-08-26,2.97514252550881,"Excellent"
"140070-14",2014-08-27,2.97887358917248,"Excellent"
"140070-14",2014-08-28,2.93080504546516,"Excellent"
"140070-14",2014-08-29,2.98718755335086,"Excellent"
"140070-14",2014-08-30,3.03247563120265,"Excellent"
"140070-14",2014-08-31,3.04959895936065,"Excellent"
"140100-14",2014-07-15,2.45403909711557,"Marginal"
"140100-14",2014-07-16,2.43003494379622,"Marginal"
"140100-14",2014-07-17,2.39817643202776,"Poor"
"140100-14",2014-07-18,2.85484021579649,"Good"
"140100-14",2014-07-19,2.89925175698854,"Good"
"140100-14",2014-07-20,2.85383156740858,"Good"
"140100-14",2014-07-21,2.54194992754605,"Marginal"
"140100-14",2014-07-22,2.62497063126333,"Marginal"
"140100-14",2014-07-23,2.4996772216609,"Marginal"
"140100-14",2014-07-24,2.53333881310202,"Marginal"
"140100-14",2014-07-25,2.87240773938582,"Good"
"140100-14",2014-07-26,2.86602899644,"Good"
"140100-14",2014-07-27,2.68539298123326,"Marginal"
"140100-14",2014-07-28,2.51397384942359,"Marginal"
"140100-14",2014-07-29,2.47387011057198,"Marginal"
"140100-14",2014-07-30,2.46372506269716,"Marginal"
"140100-14",2014-07-31,2.46134916855379,"Marginal"
"140100-14",2014-08-01,2.4713141447416,"Marginal"
"140100-14",2014-08-02,2.40380667697344,"Marginal"
"140100-14",2014-08-03,2.62193379250144,"Marginal"
"140100-14",2014-08-04,2.90856479081628,"Excellent"
"140100-14",2014-08-05,2.85577292639179,"Good"
"140100-14",2014-08-06,2.80326144930549,"Good"
"140100-14",2014-08-07,2.87888762817734,"Good"
"140100-14",2014-08-08,2.8310578870526,"Good"
"140100-14",2014-08-09,2.88664689455378,"Good"
"140100-14",2014-08-10,2.82759282497258,"Good"
"140100-14",2014-08-11,2.65688137260866,"Marginal"
"140100-14",2014-08-12,2.79030936166762,"Good"
"140100-14",2014-08-13,2.8475402827115,"Good"
"140100-14",2014-08-14,2.87190346719861,"Good"
"140100-14",2014-08-15,2.82577473314183,"Good"
"140100-14",2014-08-16,2.76414739008905,"Good"
"140100-14",2014-08-17,2.80820777552188,"Good"
"140100-14",2014-08-18,2.58027120010758,"Marginal"
"140100-14",2014-08-19,2.64459882825403,"Marginal"
"140100-14",2014-08-20,2.42934754425837,"Marginal"
"140100-14",2014-08-21,2.34323532807286,"Poor"
"140100-14",2014-08-22,2.43027060980857,"Marginal"
"140100-14",2014-08-23,2.53564024233564,"Marginal"
"140100-14",2014-08-24,2.50583725615405,"Marginal"
"140100-14",2014-08-25,2.76459063947498,"Good"
"140100-14",2014-08-26,2.78846686715124,"Good"
"140100-14",2014-08-27,2.79590500844478,"Good"
"140100-14",2014-08-28,2.59783581875449,"Marginal"
"140100-14",2014-08-29,2.48221450375739,"Marginal"
"140100-14",2014-08-30,2.45575024510258,"Marginal"
"140100-14",2014-08-31,2.50256517783324,"Marginal"
"140120-14",2014-07-15,2.54443107530321,"Marginal"
"140120-14",2014-07-16,2.58769384387252,"Marginal"
"140120-14",2014-07-17,2.55801036372902,"Marginal"
"140120-14",2014-07-18,2.6306854017949,"Marginal"
"140120-14",2014-07-19,2.4770320259053,"Marginal"
"140120-14",2014-07-20,2.63734293648116,"Marginal"
"140120-14",2014-07-21,2.4382479463168,"Marginal"
"140120-14",2014-07-22,2.3792276714991,"Poor"
"140120-14",2014-07-23,2.51946596391649,"Marginal"
"140120-14",2014-07-24,2.61305230404158,"Marginal"
"140120-14",2014-07-25,2.50126197056808,"Marginal"
"140120-14",2014-07-26,2.63342430405132,"Marginal"
"140120-14",2014-07-27,2.68318722297491,"Marginal"
"140120-14",2014-07-28,2.35915049620543,"Poor"
"140120-14",2014-07-29,2.77200272189553,"Good"
"140120-14",2014-07-30,2.87390334414015,"Good"
"140120-14",2014-07-31,2.47389882724864,"Marginal"
"140120-14",2014-08-01,2.52010233661174,"Marginal"
"140120-14",2014-08-02,2.70247951275506,"Marginal"
"140120-14",2014-08-03,2.44111878131493,"Marginal"
"140120-14",2014-08-04,2.36098603478708,"Poor"
