"IndivYr","AnimalID","VI95","VI50","MigRank","MigStatus","Date","AvgGHerb","AvgGShrub","AvgDE","DEclass","AvgGForage","IFBF","preg_pspb","LactStatus","girthmass","adjmass","Age","HRarea"
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-01",1.90315975709393,162.551297358765,2.44257527657638,"Marginal",164.454457115859,6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-02",6.70538608092639,8.69039552483539,2.65852547853526,"Marginal",15.3957816057618,6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-03",7.64317852450426,8.57107434796588,2.62669323685908,"Marginal",16.2142528724701,6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-04",4.4995978531294,18.4815637632161,2.46350833601458,"Marginal",22.9811616163455,6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-05",2.38608850711638,8.57291442245434,2.39841428515105,"Poor",10.9590029295707,6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-06",4.65585770831401,51.0495199727102,2.45417537626606,"Marginal",55.7053776810242,6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-07",1.18974581359153,8.38923829797478,2.46028122363007,"Marginal",9.57898411156631,6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-08",1.39141987331415,25.0656612657262,2.42397751194943,"Marginal",26.4570811390403,6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-09",1.49914536654522,5.63304732112897,2.52578206190329,"Marginal",7.13219268767419,6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-10",1.58215494900485,11.7216393490973,2.50169931301301,"Marginal",13.3037942981022,6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-11",1.89574685202558,4.61973043093523,2.50059511803826,"Marginal",6.51547728296081,6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-12",3.3972990102368,15.8182751073987,2.55451111873591,"Marginal",19.2155741176355,6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-13",2.40613949471641,7.03087375389483,2.49642261155917,"Marginal",9.43701324861124,6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-14",1.56036098141245,116.314861833469,2.40941550309041,"Marginal",117.875222814881,6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-15",1.49667364254064,7.73082677733384,2.48478651652996,"Marginal",9.22750041987448,6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-16",2.65971350064012,4.61167799234847,2.51783069743555,"Marginal",7.27139149298859,6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-17",7.25131420523366,24.857939832442,2.58496855261831,"Marginal",32.1092540376757,6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
